iso3,indicator,demographic,demographic_category,year,value,name
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2014,0.490789738952084,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2014,0.846398123956884,Afghanistan
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2015,0.483763150960104,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2015,0.844473028961127,Afghanistan
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2016,0.482846252542163,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2016,0.843745652789984,Afghanistan
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2017,0.481544942323006,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2017,0.84342018233096,Afghanistan
AFG,No access to soap and water,Not P20,Poorest/richest 20% of population,2018,0.479900839358975,Afghanistan
AFG,No access to soap and water,P20,Poorest/richest 20% of population,2018,0.84319691284694,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2000,0.2185114250565,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2000,0.79875314525851,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2000,0.46890068199308,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2001,0.235192890260786,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2001,0.79875314525851,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2001,0.477372254473515,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2002,0.242340446226772,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2002,0.798789690411265,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2002,0.489560668726563,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2003,0.244993062439756,Afghanistan
AFG,No access to soap and water,Not P20 Rural,Poverty status and location,2003,0.195097082582006,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2003,0.799076580442438,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2003,0.509175705173341,Afghanistan
AFG,No access to soap and water,Not P20 Rural,Poverty status and location,2004,0.0962522455340793,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2004,0.263261778619325,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2004,0.799694129396771,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2004,0.533225210944839,Afghanistan
AFG,No access to soap and water,Not P20 Rural,Poverty status and location,2005,0.0792556988239244,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2005,0.304231059680509,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2005,0.80114902475232,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2005,0.549565565883802,Afghanistan
AFG,No access to soap and water,Not P20 Rural,Poverty status and location,2006,0.266681180131668,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2006,0.314971695288523,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2006,0.803666455011185,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2006,0.611348727375546,Afghanistan
AFG,No access to soap and water,Not P20 Rural,Poverty status and location,2007,0.205689383866323,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2007,0.346289556637778,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2007,0.817239351153924,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2007,0.636842004679119,Afghanistan
AFG,No access to soap and water,Not P20 Rural,Poverty status and location,2008,0.392731821128228,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2008,0.365934543418248,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2008,0.827079023201692,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2008,0.708215137965896,Afghanistan
AFG,No access to soap and water,Not P20 Rural,Poverty status and location,2009,0.500762226861321,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2009,0.385588106074788,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2009,0.835912827354712,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2009,0.726657162599663,Afghanistan
AFG,No access to soap and water,Not P20 Rural,Poverty status and location,2010,0.585322917260918,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2010,0.395422238263254,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2010,0.845045711313845,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2010,0.741419714001191,Afghanistan
AFG,No access to soap and water,Not P20 Rural,Poverty status and location,2011,0.579562461492147,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2011,0.393883863577057,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2011,0.844080758497127,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2011,0.741627027564294,Afghanistan
AFG,No access to soap and water,Not P20 Rural,Poverty status and location,2012,0.619856745494099,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2012,0.401688360831713,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2012,0.853474862731238,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2012,0.738926784782692,Afghanistan
AFG,No access to soap and water,Not P20 Rural,Poverty status and location,2013,0.614669509156892,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2013,0.400498270562605,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2013,0.852477113897175,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2013,0.743587437428166,Afghanistan
AFG,No access to soap and water,Not P20 Rural,Poverty status and location,2014,0.610763974743398,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2014,0.399217522042313,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2014,0.850431722692265,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2014,0.74310121054173,Afghanistan
AFG,No access to soap and water,Not P20 Rural,Poverty status and location,2015,0.602870428547815,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2015,0.397697864315504,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2015,0.84866383176796,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2015,0.740478837867755,Afghanistan
AFG,No access to soap and water,Not P20 Rural,Poverty status and location,2016,0.602641493305162,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2016,0.39742878555927,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2016,0.847868182822501,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2016,0.741488950262654,Afghanistan
AFG,No access to soap and water,Not P20 Rural,Poverty status and location,2017,0.600750186060551,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2017,0.397483847886254,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2017,0.847626259791039,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2017,0.739307154641925,Afghanistan
AFG,No access to soap and water,Not P20 Rural,Poverty status and location,2018,0.598670022272958,Afghanistan
AFG,No access to soap and water,Not P20 Urban,Poverty status and location,2018,0.397167410719932,Afghanistan
AFG,No access to soap and water,P20 Rural,Poverty status and location,2018,0.847357922091719,Afghanistan
AFG,No access to soap and water,P20 Urban,Poverty status and location,2018,0.740376632795751,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2000,0.244548917902413,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2000,0.734710008617514,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2000,0.191060314145947,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2000,0.723075761791045,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2001,0.260819696885124,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2001,0.738352864298944,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2001,0.209405020846446,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2001,0.728073871723914,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2002,0.260394388446314,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2002,0.743531032406947,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2002,0.224180812407497,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2002,0.733571937511249,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2003,0.270456175610132,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2003,0.749314171608247,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2003,0.220410505869202,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2003,0.743031931112905,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2004,0.287048642234831,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2004,0.759959388300907,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2004,0.234829854260162,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2004,0.751529201674623,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2005,0.306299723691364,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2005,0.771753335739493,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2005,0.292042708570477,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2005,0.759094335645409,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2006,0.329607168551326,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2006,0.786948542089429,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2006,0.29494029595859,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2006,0.777218590912207,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2007,0.337996054821159,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2007,0.806287725128346,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2007,0.320331641007248,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2007,0.796279383784349,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2008,0.376088695854736,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2008,0.824989327744019,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2008,0.366696740040501,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2008,0.814270264324065,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2009,0.427824207562155,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2009,0.83354953256586,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2009,0.410337690010978,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2009,0.827941705538155,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2010,0.476337615349435,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2010,0.844820574534614,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2010,0.462308832827909,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2010,0.836834957990795,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2011,0.47501157350564,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2011,0.842533675403822,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2011,0.454058470014614,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2011,0.837155073886068,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2012,0.508165235015096,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2012,0.852452615555852,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2012,0.492144737092588,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2012,0.845964588835033,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2013,0.502815510222293,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2013,0.851911127310657,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2013,0.487915300422496,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2013,0.844831414179415,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2014,0.49732966652641,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2014,0.849782316142972,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2014,0.484122984302585,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2014,0.842796614863842,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2015,0.489827318629177,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2015,0.848252625580639,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2015,0.47757946810308,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2015,0.840454385940347,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2016,0.488580890385942,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2016,0.84758317537999,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2016,0.477007371783377,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2016,0.839662466164627,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2017,0.4871842311996,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2017,0.847349214078962,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2017,0.475801680553636,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2017,0.83924078704964,Afghanistan
AFG,No access to soap and water,Not P20 Male,Poverty status and sex,2018,0.485986997407143,Afghanistan
AFG,No access to soap and water,P20 Male,Poverty status and sex,2018,0.847147853601991,Afghanistan
AFG,No access to soap and water,Not P20 Female,Poverty status and sex,2018,0.47368623011655,Afghanistan
AFG,No access to soap and water,P20 Female,Poverty status and sex,2018,0.839001050571533,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2000,0.0908001913314776,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2000,0.216580727441841,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2001,0.0960363122430246,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2001,0.217557682368424,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2002,0.100225346511683,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2002,0.218707782785551,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2003,0.127774751656831,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2003,0.218506597457349,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2004,0.124304519048947,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2004,0.220722590593373,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2005,0.149961749664453,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2005,0.220192924185279,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2006,0.180874947236561,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2006,0.217666679497289,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2007,0.176193646501581,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2007,0.22053767459506,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2008,0.190915906798322,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2008,0.218923958581211,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2009,0.205734302056396,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2009,0.215024831351266,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2010,0.202183061758533,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2010,0.217739614552409,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2011,0.199658794197976,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2011,0.218877526079971,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2012,0.203119533486284,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2012,0.218390897371845,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2013,0.202187361052617,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2013,0.218795753221137,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2014,0.201654580747896,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2014,0.218866826080964,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2015,0.200484213016248,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2015,0.219235060316888,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2016,0.199979207504175,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2016,0.219459220979341,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2017,0.199817054520788,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2017,0.219489193927094,Afghanistan
AFG,Crowded living conditions,Not P20,Poorest/richest 20% of population,2018,0.199995658850334,Afghanistan
AFG,Crowded living conditions,P20,Poorest/richest 20% of population,2018,0.219316442314868,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2000,0.0908001913314776,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2000,0.206487299712487,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2000,0.255991789690498,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2001,0.0960363122430246,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2001,0.206487299712487,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2001,0.262901631456653,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2002,0.100286272128981,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2002,0.206495992727582,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2002,0.271764798296885,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2003,0.127393954221531,Afghanistan
AFG,Crowded living conditions,Not P20 Rural,Poverty status and location,2003,0.195097082582006,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2003,0.206492915007713,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2003,0.275069146572776,Afghanistan
AFG,Crowded living conditions,Not P20 Rural,Poverty status and location,2004,0.120621895970059,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2004,0.124356482913161,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2004,0.206621686544793,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2004,0.295346712620839,Afghanistan
AFG,Crowded living conditions,Not P20 Rural,Poverty status and location,2005,0.0550406605342692,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2005,0.152267865026316,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2005,0.20700771648721,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2005,0.303121368011977,Afghanistan
AFG,Crowded living conditions,Not P20 Rural,Poverty status and location,2006,0.0540504798063211,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2006,0.187393780246743,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2006,0.207889057029746,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2006,0.296993572289254,Afghanistan
AFG,Crowded living conditions,Not P20 Rural,Poverty status and location,2007,0.0370969603347351,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2007,0.195801631944033,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2007,0.211636200260567,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2007,0.316378991569095,Afghanistan
AFG,Crowded living conditions,Not P20 Rural,Poverty status and location,2008,0.0957874164542695,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2008,0.215786528176181,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2008,0.213909293490961,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2008,0.29847930175966,Afghanistan
AFG,Crowded living conditions,Not P20 Rural,Poverty status and location,2009,0.159306531628848,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2009,0.225930575617519,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2009,0.212422412740482,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2009,0.269367725818732,Afghanistan
AFG,Crowded living conditions,Not P20 Rural,Poverty status and location,2010,0.170658576206666,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2010,0.223408895498785,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2010,0.214342739961159,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2010,0.303904877297704,Afghanistan
AFG,Crowded living conditions,Not P20 Rural,Poverty status and location,2011,0.162168015891671,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2011,0.224021176008656,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2011,0.215744377987527,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2011,0.296211254542024,Afghanistan
AFG,Crowded living conditions,Not P20 Rural,Poverty status and location,2012,0.17873132905938,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2012,0.224566605975054,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2012,0.215201731794336,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2012,0.306033310244636,Afghanistan
AFG,Crowded living conditions,Not P20 Rural,Poverty status and location,2013,0.176861607122759,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2013,0.223675737616926,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2013,0.215339985409058,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2013,0.312973761605172,Afghanistan
AFG,Crowded living conditions,Not P20 Rural,Poverty status and location,2014,0.174566083283246,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2014,0.223607998283304,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2014,0.215433145027634,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2014,0.310395858394145,Afghanistan
AFG,Crowded living conditions,Not P20 Rural,Poverty status and location,2015,0.170662559165473,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2015,0.22331318085476,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2015,0.215764598378082,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2015,0.309013358438542,Afghanistan
AFG,Crowded living conditions,Not P20 Rural,Poverty status and location,2016,0.169566172330206,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2016,0.222969471987231,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2016,0.215892578967428,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2016,0.311642638744466,Afghanistan
AFG,Crowded living conditions,Not P20 Rural,Poverty status and location,2017,0.16874753926636,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2017,0.223029649183292,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2017,0.215954326064788,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2017,0.310698520102977,Afghanistan
AFG,Crowded living conditions,Not P20 Rural,Poverty status and location,2018,0.168795596069379,Afghanistan
AFG,Crowded living conditions,Not P20 Urban,Poverty status and location,2018,0.222975949301598,Afghanistan
AFG,Crowded living conditions,P20 Rural,Poverty status and location,2018,0.215769249917723,Afghanistan
AFG,Crowded living conditions,P20 Urban,Poverty status and location,2018,0.310752218254911,Afghanistan
AFG,Crowded living conditions,Not P20 Male,Poverty status and sex,2000,0.117427605066729,Afghanistan
