name,level,region,year,povtype,ppp,Pre-Covid measured extreme poverty,Pre-Covid estimated extreme poverty,Post-Covid measured extreme poverty,Post-Covid estimated extreme poverty,Poorest 20%_FALSE_FALSE,Poorest 20%_FALSE_TRUE,Poorest 20%_TRUE_FALSE,Poorest 20%_TRUE_TRUE
Albania,National,ECA,2012,Poorest 20%,2011,,,,,0.02490918,,,
Albania,National,ECA,2013,Extreme poverty,2011,0.01718526,,,,,,,
Albania,National,ECA,2013,Poorest 20%,2011,,,,,0.05253349,,,
Albania,National,ECA,2015,Extreme poverty,2011,0.01301948,,,,,,,
Albania,National,ECA,2015,Poorest 20%,2011,,,,,0.05577151,,,
Albania,National,ECA,2018,Extreme poverty,2011,0.01218212,,0.01423106,,,,,
Albania,National,ECA,2018,Poorest 20%,2011,,,,,0.05386275,,0.06078669,
Albania,National,ECA,2019,Extreme poverty,2011,,0.01094077,,0.01266547,,,,
Albania,National,ECA,2019,Poorest 20%,2011,,,,,,0.05162163,,0.05822428
Albania,National,ECA,2020,Extreme poverty,2011,,0.008610372,,0.01629655,,,,
Albania,National,ECA,2020,Poorest 20%,2011,,,,,,0.04226106,,0.0670528
Albania,National,ECA,2021,Extreme poverty,2011,,0.007169419,,0.01158928,,,,
Albania,National,ECA,2021,Poorest 20%,2011,,,,,,0.03980245,,0.05645053
Albania,National,ECA,2022,Extreme poverty,2011,,0.006406087,,,,,,
Albania,National,ECA,2023,Extreme poverty,2011,,0.004284755,,,,,,
Albania,National,ECA,2024,Extreme poverty,2011,,0.004104623,,,,,,
Algeria,National,MNA,2010,Extreme poverty,2011,0.006456911,,,,,,,
Algeria,National,MNA,2010,Poorest 20%,2011,,,,,0.01003574,,,
Algeria,National,MNA,2011,Extreme poverty,2011,0.004826224,,,,,,,
Algeria,National,MNA,2011,Poorest 20%,2011,,,,,0.009299652,,,
Algeria,National,MNA,2012,Extreme poverty,2011,0.004264907,,,,,,,
Algeria,National,MNA,2012,Poorest 20%,2011,,,,,0.009182177,,,
Algeria,National,MNA,2013,Extreme poverty,2011,0.003904426,,,,,,,
Algeria,National,MNA,2013,Poorest 20%,2011,,,,,0.01041768,,,
Algeria,National,MNA,2015,Extreme poverty,2011,0.003464283,,,,,,,
Algeria,National,MNA,2015,Poorest 20%,2011,,,,,0.0113485,,,
Algeria,National,MNA,2018,Extreme poverty,2011,0.003353958,,0.003301132,,,,,
Algeria,National,MNA,2018,Poorest 20%,2011,,,,,0.01488382,,0.01452795,
Algeria,National,MNA,2019,Extreme poverty,2011,,0.003305926,,0.003403986,,,,
Algeria,National,MNA,2019,Poorest 20%,2011,,,,,,0.01535123,,0.01605586
Algeria,National,MNA,2020,Extreme poverty,2011,,0.003264271,,0.004091209,,,,
Algeria,National,MNA,2020,Poorest 20%,2011,,,,,,0.01432157,,0.02010146
Algeria,National,MNA,2021,Extreme poverty,2011,,0.003268022,,0.00365791,,,,
Algeria,National,MNA,2021,Poorest 20%,2011,,,,,,0.01588308,,0.01889537
Algeria,National,MNA,2022,Extreme poverty,2011,,0.00328978,,,,,,
Algeria,National,MNA,2023,Extreme poverty,2011,,0.003342277,,,,,,
Algeria,National,MNA,2024,Extreme poverty,2011,,0.003406991,,,,,,
Angola,National,SSA,2010,Extreme poverty,2011,0.3172535,,,,,,,
Angola,National,SSA,2010,Poorest 20%,2011,,,,,0.3712959,,,
Angola,National,SSA,2011,Extreme poverty,2011,0.3290969,,,,,,,
Angola,National,SSA,2011,Poorest 20%,2011,,,,,0.4138097,,,
Angola,National,SSA,2012,Extreme poverty,2011,0.3311724,,,,,,,
Angola,National,SSA,2012,Poorest 20%,2011,,,,,0.4289613,,,
Angola,National,SSA,2013,Extreme poverty,2011,0.3367167,,,,,,,
Angola,National,SSA,2013,Poorest 20%,2011,,,,,0.4627515,,,
Angola,National,SSA,2015,Extreme poverty,2011,0.3711673,,,,,,,
Angola,National,SSA,2015,Poorest 20%,2011,,,,,0.5237173,,,
Angola,National,SSA,2018,Extreme poverty,2011,0.4851991,,0.4712,,,,,
Angola,National,SSA,2018,Poorest 20%,2011,,,,,0.6673337,,0.6504276,
Angola,National,SSA,2019,Extreme poverty,2011,,0.4999609,,0.4856948,,,,
Angola,National,SSA,2019,Poorest 20%,2011,,,,,,0.6832918,,0.6732996
Angola,National,SSA,2020,Extreme poverty,2011,,0.506939,,0.5048404,,,,
Angola,National,SSA,2020,Poorest 20%,2011,,,,,,0.6845909,,0.6833092
Angola,National,SSA,2021,Extreme poverty,2011,,0.5070279,,0.5063654,,,,
Angola,National,SSA,2021,Poorest 20%,2011,,,,,,0.693132,,0.691697
Angola,National,SSA,2022,Extreme poverty,2011,,0.5059141,,,,,,
Angola,National,SSA,2023,Extreme poverty,2011,,0.5018836,,,,,,
Angola,National,SSA,2024,Extreme poverty,2011,,0.499236,,,,,,
Argentina,National,LAC,2010,Extreme poverty,2011,0.02233402,,,,,,,
Argentina,National,LAC,2010,Poorest 20%,2011,,,,,0.02692784,,,
Argentina,National,LAC,2011,Extreme poverty,2011,0.008889483,,,,,,,
Argentina,National,LAC,2011,Poorest 20%,2011,,,,,0.01224721,,,
Argentina,National,LAC,2012,Extreme poverty,2011,0.007906832,,,,,,,
Argentina,National,LAC,2012,Poorest 20%,2011,,,,,0.01384709,,,
Argentina,National,LAC,2013,Extreme poverty,2011,0.007477228,,,,,,,
Argentina,National,LAC,2013,Poorest 20%,2011,,,,,0.01424375,,,
Argentina,National,LAC,2015,Extreme poverty,2011,0.006580132,,,,,,,
Argentina,National,LAC,2015,Poorest 20%,2011,,,,,0.01478968,,,
Argentina,National,LAC,2018,Extreme poverty,2011,,,0.01007636,,,,,
Argentina,National,LAC,2018,Poorest 20%,2011,,,,,,,0.02512609,
Argentina,National,LAC,2019,Extreme poverty,2011,,,,0.01064768,,,,
Argentina,National,LAC,2019,Poorest 20%,2011,,,,,,,,0.02755315
Argentina,National,LAC,2020,Extreme poverty,2011,,,,0.01205441,,,,
Argentina,National,LAC,2020,Poorest 20%,2011,,,,,,,,0.02930172
Argentina,National,LAC,2021,Extreme poverty,2011,,,,0.01161571,,,,
Argentina,National,LAC,2021,Poorest 20%,2011,,,,,,,,0.02918966
Armenia,National,ECA,2010,Extreme poverty,2011,0.01903291,,,,,,,
Armenia,National,ECA,2010,Poorest 20%,2011,,,,,0.03800993,,,
Armenia,National,ECA,2011,Extreme poverty,2011,0.02213477,,,,,,,
Armenia,National,ECA,2011,Poorest 20%,2011,,,,,0.04874313,,,
Armenia,National,ECA,2012,Extreme poverty,2011,0.01579596,,,,,,,
Armenia,National,ECA,2012,Poorest 20%,2011,,,,,0.05555967,,,
Armenia,National,ECA,2013,Extreme poverty,2011,0.02240529,,,,,,,
Armenia,National,ECA,2013,Poorest 20%,2011,,,,,0.07063166,,,
Armenia,National,ECA,2015,Extreme poverty,2011,0.0186327,,,,,,,
Armenia,National,ECA,2015,Poorest 20%,2011,,,,,0.0766286,,,
Armenia,National,ECA,2018,Extreme poverty,2011,0.01836389,,0.02081727,,,,,
Armenia,National,ECA,2018,Poorest 20%,2011,,,,,0.07919393,,0.09399795,
Armenia,National,ECA,2019,Extreme poverty,2011,,0.01409537,,0.01684132,,,,
Armenia,National,ECA,2019,Poorest 20%,2011,,,,,,0.070041,,0.0783013
Armenia,National,ECA,2020,Extreme poverty,2011,,0.01188275,,0.01836389,,,,
Armenia,National,ECA,2020,Poorest 20%,2011,,,,,,0.06215954,,0.07835563
Armenia,National,ECA,2021,Extreme poverty,2011,,0.01058352,,0.01452873,,,,
Armenia,National,ECA,2021,Poorest 20%,2011,,,,,,0.05934678,,0.07514931
Armenia,National,ECA,2022,Extreme poverty,2011,,0.009627249,,,,,,
Armenia,National,ECA,2023,Extreme poverty,2011,,0.007791018,,,,,,
Armenia,National,ECA,2024,Extreme poverty,2011,,0.005204765,,,,,,
Australia,National,OHI,2010,Extreme poverty,2011,0.003491684,,,,,,,
Australia,National,OHI,2010,Poorest 20%,2011,,,,,0.003491684,,,
Australia,National,OHI,2011,Extreme poverty,2011,0.003864973,,,,,,,
Australia,National,OHI,2011,Poorest 20%,2011,,,,,0.003864973,,,
Australia,National,OHI,2012,Extreme poverty,2011,0.004238261,,,,,,,
Australia,National,OHI,2012,Poorest 20%,2011,,,,,0.004238261,,,
Australia,National,OHI,2013,Extreme poverty,2011,0.00461155,,,,,,,
Australia,National,OHI,2013,Poorest 20%,2011,,,,,0.00461155,,,
Australia,National,OHI,2015,Extreme poverty,2011,0.004984838,,,,,,,
Australia,National,OHI,2015,Poorest 20%,2011,,,,,0.004984838,,,
Australia,National,OHI,2018,Extreme poverty,2011,0.004984838,,0.004984838,,,,,
Australia,National,OHI,2018,Poorest 20%,2011,,,,,0.004984838,,0.004984838,
Australia,National,OHI,2019,Extreme poverty,2011,,0.004984838,,0.004984838,,,,
Australia,National,OHI,2019,Poorest 20%,2011,,,,,,0.004984838,,0.004984838
Australia,National,OHI,2020,Extreme poverty,2011,,0.004984838,,0.004984838,,,,
Australia,National,OHI,2020,Poorest 20%,2011,,,,,,0.004984838,,0.004984838
Australia,National,OHI,2021,Extreme poverty,2011,,0.004984838,,0.004984838,,,,
Australia,National,OHI,2021,Poorest 20%,2011,,,,,,0.004984838,,0.004984838
Australia,National,OHI,2022,Extreme poverty,2011,,0.004984838,,,,,,
Australia,National,OHI,2023,Extreme poverty,2011,,0.004984838,,,,,,
Australia,National,OHI,2024,Extreme poverty,2011,,0.004984838,,,,,,
Austria,National,OHI,2010,Extreme poverty,2011,0.004907025,,,,,,,
Austria,National,OHI,2010,Poorest 20%,2011,,,,,0.005044655,,,
Austria,National,OHI,2011,Extreme poverty,2011,0.004154042,,,,,,,
Austria,National,OHI,2011,Poorest 20%,2011,,,,,0.004820836,,,
Austria,National,OHI,2012,Extreme poverty,2011,0.006169174,,,,,,,
Austria,National,OHI,2012,Poorest 20%,2011,,,,,0.006715152,,,
Austria,National,OHI,2013,Extreme poverty,2011,0.003379979,,,,,,,
Austria,National,OHI,2013,Poorest 20%,2011,,,,,0.003379979,,,
Austria,National,OHI,2015,Extreme poverty,2011,0.00677193,,,,,,,
Austria,National,OHI,2015,Poorest 20%,2011,,,,,0.00724832,,,
Austria,National,OHI,2018,Extreme poverty,2011,0.003180896,,0.003180896,,,,,
Austria,National,OHI,2018,Poorest 20%,2011,,,,,0.003928304,,0.003928304,
Austria,National,OHI,2019,Extreme poverty,2011,,0.003180896,,0.003180896,,,,
Austria,National,OHI,2019,Poorest 20%,2011,,,,,,0.003928304,,0.003928304
Austria,National,OHI,2020,Extreme poverty,2011,,0.003180896,,0.003274168,,,,
Austria,National,OHI,2020,Poorest 20%,2011,,,,,,0.003928304,,0.003982924
Austria,National,OHI,2021,Extreme poverty,2011,,0.003108358,,0.003180896,,,,
Austria,National,OHI,2021,Poorest 20%,2011,,,,,,0.003928304,,0.003982924
Austria,National,OHI,2022,Extreme poverty,2011,,0.003108358,,,,,,
Austria,National,OHI,2023,Extreme poverty,2011,,0.003108358,,,,,,
Austria,National,OHI,2024,Extreme poverty,2011,,0.003108358,,,,,,
Azerbaijan,National,ECA,2010,Extreme poverty,2011,0,,,,,,,
Azerbaijan,National,ECA,2010,Poorest 20%,2011,,,,,0,,,
Azerbaijan,National,ECA,2011,Extreme poverty,2011,0,,,,,,,
Azerbaijan,National,ECA,2011,Poorest 20%,2011,,,,,0,,,
Azerbaijan,National,ECA,2012,Extreme poverty,2011,0,,,,,,,
Azerbaijan,National,ECA,2012,Poorest 20%,2011,,,,,0,,,
Azerbaijan,National,ECA,2013,Extreme poverty,2011,0,,,,,,,
Azerbaijan,National,ECA,2013,Poorest 20%,2011,,,,,0,,,
Azerbaijan,National,ECA,2015,Extreme poverty,2011,0,,,,,,,
Azerbaijan,National,ECA,2015,Poorest 20%,2011,,,,,0,,,
Azerbaijan,National,ECA,2018,Extreme poverty,2011,0,,0,,,,,
Azerbaijan,National,ECA,2018,Poorest 20%,2011,,,,,0,,0,
Azerbaijan,National,ECA,2019,Extreme poverty,2011,,0,,0,,,,
Azerbaijan,National,ECA,2019,Poorest 20%,2011,,,,,,0,,0
Azerbaijan,National,ECA,2020,Extreme poverty,2011,,0,,0,,,,
Azerbaijan,National,ECA,2020,Poorest 20%,2011,,,,,,0,,0
Azerbaijan,National,ECA,2021,Extreme poverty,2011,,0,,0,,,,
Azerbaijan,National,ECA,2021,Poorest 20%,2011,,,,,,0,,0
Azerbaijan,National,ECA,2022,Extreme poverty,2011,,0,,,,,,
Azerbaijan,National,ECA,2023,Extreme poverty,2011,,0,,,,,,
Azerbaijan,National,ECA,2024,Extreme poverty,2011,,0,,,,,,
Bangladesh,National,SAS,2010,Extreme poverty,2011,0.1963112,,,,,,,
Bangladesh,National,SAS,2010,Poorest 20%,2011,,,,,0.2792477,,,
Bangladesh,National,SAS,2011,Extreme poverty,2011,0.1846992,,,,,,,
Bangladesh,National,SAS,2011,Poorest 20%,2011,,,,,0.3151772,,,
Bangladesh,National,SAS,2012,Extreme poverty,2011,0.1787041,,,,,,,
Bangladesh,National,SAS,2012,Poorest 20%,2011,,,,,0.3323487,,,
Bangladesh,National,SAS,2013,Extreme poverty,2011,0.1684082,,,,,,,
Bangladesh,National,SAS,2013,Poorest 20%,2011,,,,,0.3676965,,,
Bangladesh,National,SAS,2015,Extreme poverty,2011,0.1515333,,,,,,,
Bangladesh,National,SAS,2015,Poorest 20%,2011,,,,,0.3902028,,,
Bangladesh,National,SAS,2018,Extreme poverty,2011,0.0600218,,0.0783727,,,,,
Bangladesh,National,SAS,2018,Poorest 20%,2011,,,,,0.2783197,,0.3216777,
Bangladesh,National,SAS,2019,Extreme poverty,2011,,0.04597175,,0.06016712,,,,
Bangladesh,National,SAS,2019,Poorest 20%,2011,,,,,,0.245896,,0.2876399
Bangladesh,National,SAS,2020,Extreme poverty,2011,,0.03523918,,0.057655,,,,
Bangladesh,National,SAS,2020,Poorest 20%,2011,,,,,,0.2030187,,0.2722286
Bangladesh,National,SAS,2021,Extreme poverty,2011,,0.02699562,,0.04151792,,,,
Bangladesh,National,SAS,2021,Poorest 20%,2011,,,,,,0.1852261,,0.238361
Bangladesh,National,SAS,2022,Extreme poverty,2011,,0.02050426,,,,,,
Bangladesh,National,SAS,2023,Extreme poverty,2011,,0.01512642,,,,,,
Bangladesh,National,SAS,2024,Extreme poverty,2011,,0.01120691,,,,,,
Belarus,National,ECA,2010,Extreme poverty,2011,0,,,,,,,
Belarus,National,ECA,2010,Poorest 20%,2011,,,,,0,,,
Belarus,National,ECA,2011,Extreme poverty,2011,0,,,,,,,
Belarus,National,ECA,2011,Poorest 20%,2011,,,,,0,,,
Belarus,National,ECA,2012,Extreme poverty,2011,0,,,,,,,
Belarus,National,ECA,2012,Poorest 20%,2011,,,,,0.0001205592,,,
Belarus,National,ECA,2013,Extreme poverty,2011,0,,,,,,,
Belarus,National,ECA,2013,Poorest 20%,2011,,,,,0,,,
Belarus,National,ECA,2015,Extreme poverty,2011,0,,,,,,,
Belarus,National,ECA,2015,Poorest 20%,2011,,,,,0,,,
Belarus,National,ECA,2018,Extreme poverty,2011,0,,0,,,,,
Belarus,National,ECA,2018,Poorest 20%,2011,,,,,0,,0,
Belarus,National,ECA,2019,Extreme poverty,2011,,0,,0,,,,
Belarus,National,ECA,2019,Poorest 20%,2011,,,,,,0,,0
Belarus,National,ECA,2020,Extreme poverty,2011,,0,,0,,,,
Belarus,National,ECA,2020,Poorest 20%,2011,,,,,,0,,0.0002201219
Belarus,National,ECA,2021,Extreme poverty,2011,,0,,0,,,,
Belarus,National,ECA,2021,Poorest 20%,2011,,,,,,0,,0.0002201219
Belarus,National,ECA,2022,Extreme poverty,2011,,0,,,,,,
Belarus,National,ECA,2023,Extreme poverty,2011,,0,,,,,,
Belarus,National,ECA,2024,Extreme poverty,2011,,0,,,,,,
Belgium,National,OHI,2010,Extreme poverty,2011,0.001371153,,,,,,,
Belgium,National,OHI,2010,Poorest 20%,2011,,,,,0.001421017,,,
Belgium,National,OHI,2011,Extreme poverty,2011,0.001682682,,,,,,,
Belgium,National,OHI,2011,Poorest 20%,2011,,,,,0.001840943,,,
Belgium,National,OHI,2012,Extreme poverty,2011,0.001565715,,,,,,,
Belgium,National,OHI,2012,Poorest 20%,2011,,,,,0.001720728,,,
Belgium,National,OHI,2013,Extreme poverty,2011,0.001445081,,,,,,,
Belgium,National,OHI,2013,Poorest 20%,2011,,,,,0.001715929,,,
Belgium,National,OHI,2015,Extreme poverty,2011,0.0007075855,,,,,,,
Belgium,National,OHI,2015,Poorest 20%,2011,,,,,0.001812584,,,
Belgium,National,OHI,2018,Extreme poverty,2011,0.001314533,,0.001314533,,,,,
Belgium,National,OHI,2018,Poorest 20%,2011,,,,,0.001942868,,0.001942868,
Belgium,National,OHI,2019,Extreme poverty,2011,,0.001314533,,0.001314533,,,,
Belgium,National,OHI,2019,Poorest 20%,2011,,,,,,0.001942868,,0.001969349
Belgium,National,OHI,2020,Extreme poverty,2011,,0.001314533,,0.001335979,,,,
Belgium,National,OHI,2020,Poorest 20%,2011,,,,,,0.001942868,,0.002020924
Belgium,National,OHI,2021,Extreme poverty,2011,,0.001314533,,0.001314533,,,,
Belgium,National,OHI,2021,Poorest 20%,2011,,,,,,0.001942868,,0.002020924
Belgium,National,OHI,2022,Extreme poverty,2011,,0.001314533,,,,,,
Belgium,National,OHI,2023,Extreme poverty,2011,,0.001314533,,,,,,
Belgium,National,OHI,2024,Extreme poverty,2011,,0.001314533,,,,,,
Belize,National,LAC,2010,Extreme poverty,2011,0.1391808,,,,,,,
Belize,National,LAC,2010,Poorest 20%,2011,,,,,0.1607331,,,
Belize,National,LAC,2011,Extreme poverty,2011,0.1366115,,,,,,,
Belize,National,LAC,2011,Poorest 20%,2011,,,,,0.1734635,,,
Belize,National,LAC,2012,Extreme poverty,2011,0.1366115,,,,,,,
Belize,National,LAC,2012,Poorest 20%,2011,,,,,0.1801328,,,
Belize,National,LAC,2013,Extreme poverty,2011,0.1259174,,,,,,,
Belize,National,LAC,2013,Poorest 20%,2011,,,,,0.1841713,,,
Belize,National,LAC,2015,Extreme poverty,2011,0.1259174,,,,,,,
Belize,National,LAC,2015,Poorest 20%,2011,,,,,0.2004688,,,
Belize,National,LAC,2018,Extreme poverty,2011,0.1391808,,0.1391808,,,,,
Belize,National,LAC,2018,Poorest 20%,2011,,,,,0.2420016,,0.2431018,
Belize,National,LAC,2019,Extreme poverty,2011,,0.1391808,,0.145406,,,,
Belize,National,LAC,2019,Poorest 20%,2011,,,,,,0.2442634,,0.2590644
Belize,National,LAC,2020,Extreme poverty,2011,,0.1391808,,0.1764907,,,,
Belize,National,LAC,2020,Poorest 20%,2011,,,,,,0.2431018,,0.3009047
Belize,National,LAC,2021,Extreme poverty,2011,,0.1439163,,0.1622706,,,,
Belize,National,LAC,2021,Poorest 20%,2011,,,,,,0.2462724,,0.2938254
Belize,National,LAC,2022,Extreme poverty,2011,,0.1439163,,,,,,
Belize,National,LAC,2023,Extreme poverty,2011,,0.1443536,,,,,,
Belize,National,LAC,2024,Extreme poverty,2011,,0.145406,,,,,,
Benin,National,SSA,2010,Extreme poverty,2011,0.5227209,,,,,,,
Benin,National,SSA,2010,Poorest 20%,2011,,,,,0.5899241,,,
Benin,National,SSA,2011,Extreme poverty,2011,0.5305174,,,,,,,
Benin,National,SSA,2011,Poorest 20%,2011,,,,,0.6287818,,,
Benin,National,SSA,2012,Extreme poverty,2011,0.5246182,,,,,,,
Benin,National,SSA,2012,Poorest 20%,2011,,,,,0.6414613,,,
Benin,National,SSA,2013,Extreme poverty,2011,0.5145687,,,,,,,
Benin,National,SSA,2013,Poorest 20%,2011,,,,,0.6594246,,,
Benin,National,SSA,2015,Extreme poverty,2011,0.4952181,,,,,,,
Benin,National,SSA,2015,Poorest 20%,2011,,,,,0.6730242,,,
Benin,National,SSA,2018,Extreme poverty,2011,0.4318333,,0.4512338,,,,,
Benin,National,SSA,2018,Poorest 20%,2011,,,,,0.6566573,,0.6708525,
Benin,National,SSA,2019,Extreme poverty,2011,,0.416087,,0.4327723,,,,
Benin,National,SSA,2019,Poorest 20%,2011,,,,,,0.6489925,,0.662417
Benin,National,SSA,2020,Extreme poverty,2011,,0.3975838,,0.4253928,,,,
Benin,National,SSA,2020,Poorest 20%,2011,,,,,,0.6313783,,0.6520599
Benin,National,SSA,2021,Extreme poverty,2011,,0.3814546,,0.4120711,,,,
Benin,National,SSA,2021,Poorest 20%,2011,,,,,,0.6278078,,0.6511585
Benin,National,SSA,2022,Extreme poverty,2011,,0.3644575,,,,,,
Benin,National,SSA,2023,Extreme poverty,2011,,0.3470419,,,,,,
Benin,National,SSA,2024,Extreme poverty,2011,,0.3276233,,,,,,
Bhutan,National,SAS,2010,Extreme poverty,2011,0.02716612,,,,,,,
Bhutan,National,SAS,2010,Poorest 20%,2011,,,,,0.04475938,,,
Bhutan,National,SAS,2011,Extreme poverty,2011,0.02755302,,,,,,,
Bhutan,National,SAS,2011,Poorest 20%,2011,,,,,0.05668956,,,
Bhutan,National,SAS,2012,Extreme poverty,2011,0.02170129,,,,,,,
Bhutan,National,SAS,2012,Poorest 20%,2011,,,,,0.0554929,,,
Bhutan,National,SAS,2013,Extreme poverty,2011,0.01729807,,,,,,,
Bhutan,National,SAS,2013,Poorest 20%,2011,,,,,0.05280656,,,
Bhutan,National,SAS,2015,Extreme poverty,2011,0.008598565,,,,,,,
Bhutan,National,SAS,2015,Poorest 20%,2011,,,,,0.03959471,,,
Bhutan,National,SAS,2018,Extreme poverty,2011,0.007127297,,0.007489954,,,,,
Bhutan,National,SAS,2018,Poorest 20%,2011,,,,,0.04924933,,0.05465832,
Bhutan,National,SAS,2019,Extreme poverty,2011,,0.005984329,,0.006756228,,,,
Bhutan,National,SAS,2019,Poorest 20%,2011,,,,,,0.0460968,,0.04984508
Bhutan,National,SAS,2020,Extreme poverty,2011,,0.003872365,,0.006316489,,,,
Bhutan,National,SAS,2020,Poorest 20%,2011,,,,,,0.03537784,,0.04576145
Bhutan,National,SAS,2021,Extreme poverty,2011,,0.003370954,,0.005984329,,,,
Bhutan,National,SAS,2021,Poorest 20%,2011,,,,,,0.0331714,,0.04694401
Bhutan,National,SAS,2022,Extreme poverty,2011,,0.002664437,,,,,,
Bhutan,National,SAS,2023,Extreme poverty,2011,,0.001853987,,,,,,
Bhutan,National,SAS,2024,Extreme poverty,2011,,0.001777674,,,,,,
Bolivia,National,LAC,2010,Extreme poverty,2011,0.08889984,,,,,,,
Bolivia,National,LAC,2010,Poorest 20%,2011,,,,,0.09998579,,,
Bolivia,National,LAC,2011,Extreme poverty,2011,0.07289315,,,,,,,
Bolivia,National,LAC,2011,Poorest 20%,2011,,,,,0.0893529,,,
Bolivia,National,LAC,2012,Extreme poverty,2011,0.08197635,,,,,,,
Bolivia,National,LAC,2012,Poorest 20%,2011,,,,,0.1019982,,,
Bolivia,National,LAC,2013,Extreme poverty,2011,0.06857665,,,,,,,
Bolivia,National,LAC,2013,Poorest 20%,2011,,,,,0.09281079,,,
Bolivia,National,LAC,2015,Extreme poverty,2011,0.06353983,,,,,,,
Bolivia,National,LAC,2015,Poorest 20%,2011,,,,,0.09254068,,,
Bolivia,National,LAC,2018,Extreme poverty,2011,0.04345223,,0.0448496,,,,,
Bolivia,National,LAC,2018,Poorest 20%,2011,,,,,0.08946241,,0.09151205,
Bolivia,National,LAC,2019,Extreme poverty,2011,,0.04174677,,0.04479956,,,,
Bolivia,National,LAC,2019,Poorest 20%,2011,,,,,,0.08899936,,0.09155202
Bolivia,National,LAC,2020,Extreme poverty,2011,,0.03972211,,0.04662265,,,,
Bolivia,National,LAC,2020,Poorest 20%,2011,,,,,,0.0843389,,0.09477372
Bolivia,National,LAC,2021,Extreme poverty,2011,,0.03868084,,0.0462347,,,,
Bolivia,National,LAC,2021,Poorest 20%,2011,,,,,,0.08567891,,0.09622642
Bolivia,National,LAC,2022,Extreme poverty,2011,,0.03747145,,,,,,
Bolivia,National,LAC,2023,Extreme poverty,2011,,0.03586192,,,,,,
Bolivia,National,LAC,2024,Extreme poverty,2011,,0.03535686,,,,,,
Bosnia and Herzegovina,National,ECA,2010,Extreme poverty,2011,0.0006085451,,,,,,,
Bosnia and Herzegovina,National,ECA,2010,Poorest 20%,2011,,,,,0.001119707,,,
Bosnia and Herzegovina,National,ECA,2011,Extreme poverty,2011,0.0005898651,,,,,,,
Bosnia and Herzegovina,National,ECA,2011,Poorest 20%,2011,,,,,0.001374265,,,
Bosnia and Herzegovina,National,ECA,2012,Extreme poverty,2011,0.0005898651,,,,,,,
Bosnia and Herzegovina,National,ECA,2012,Poorest 20%,2011,,,,,0.001949624,,,
Bosnia and Herzegovina,National,ECA,2013,Extreme poverty,2011,0.0005898651,,,,,,,
Bosnia and Herzegovina,National,ECA,2013,Poorest 20%,2011,,,,,0.001989795,,,
Bosnia and Herzegovina,National,ECA,2015,Extreme poverty,2011,0.0005898651,,,,,,,
Bosnia and Herzegovina,National,ECA,2015,Poorest 20%,2011,,,,,0.001989795,,,
Bosnia and Herzegovina,National,ECA,2018,Extreme poverty,2011,0.0005898651,,0.0005898651,,,,,
Bosnia and Herzegovina,National,ECA,2018,Poorest 20%,2011,,,,,0.001374265,,0.001989795,
Bosnia and Herzegovina,National,ECA,2019,Extreme poverty,2011,,0.0005898651,,0.0005898651,,,,
Bosnia and Herzegovina,National,ECA,2019,Poorest 20%,2011,,,,,,0.001325822,,0.001949624
Bosnia and Herzegovina,National,ECA,2020,Extreme poverty,2011,,0.0005898651,,0.0005898651,,,,
